年,月,日,時,波高,週期,波向,風速,風向
2024,1,1,0,3.09,6.1,0.0,14.9,18.0
2024,1,1,1,3.31,6.0,22.0,15.0,21.0
2024,1,1,2,3.38,6.1,11.0,14.8,16.0
2024,1,1,3,3.29,6.3,11.0,14.7,17.0
2024,1,1,4,3.86,6.7,11.0,15.6,16.0
2024,1,1,5,3.33,6.2,11.0,14.9,19.0
2024,1,1,6,3.11,6.0,11.0,15.9,19.0
2024,1,1,7,3.48,6.2,11.0,15.3,19.0
2024,1,1,8,3.29,6.4,11.0,15.2,19.0
2024,1,1,9,3.24,6.3,0.0,14.9,17.0
2024,1,1,10,3.05,6.2,11.0,14.4,17.0
2024,1,1,11,3.24,6.2,0.0,14.0,12.0
2024,1,1,12,3.04,6.1,11.0,14.3,9.0
2024,1,1,13,3.34,6.2,0.0,14.6,6.0
2024,1,1,14,3.11,5.9,0.0,15.0,6.0
2024,1,1,15,3.53,6.2,0.0,15.2,8.0
2024,1,1,16,3.1,5.8,11.0,14.7,11.0
2024,1,1,17,2.93,5.8,11.0,14.1,11.0
2024,1,1,18,2.55,5.3,11.0,13.9,16.0
2024,1,1,19,2.84,5.7,11.0,13.6,20.0
2024,1,1,20,2.92,5.7,0.0,13.1,18.0
2024,1,1,21,2.67,5.7,0.0,13.5,20.0
2024,1,1,22,2.53,5.6,11.0,13.0,21.0
2024,1,1,23,2.07,5.4,0.0,11.1,23.0
2024,1,2,0,2.34,5.5,11.0,10.3,22.0
2024,1,2,1,2.02,5.2,11.0,10.6,16.0
2024,1,2,2,2.14,5.5,0.0,9.2,30.0
2024,1,2,3,1.92,5.6,11.0,9.3,26.0
2024,1,2,4,1.96,5.7,11.0,10.0,24.0
2024,1,2,5,1.88,5.4,11.0,9.1,31.0
2024,1,2,6,1.79,5.4,22.0,9.2,31.0
2024,1,2,7,1.57,4.9,11.0,9.0,34.0
2024,1,2,8,1.47,5.1,11.0,8.4,25.0
2024,1,2,9,1.72,5.2,348.0,7.8,23.0
2024,1,2,10,1.79,5.6,0.0,7.4,23.0
2024,1,2,11,1.82,5.6,0.0,7.3,9.0
2024,1,2,12,1.83,5.4,0.0,6.5,1.0
2024,1,2,13,2.3,5.7,11.0,9.0,347.0
2024,1,2,14,2.09,5.3,11.0,8.8,353.0
2024,1,2,15,2.04,5.5,11.0,9.3,350.0
2024,1,2,16,2.11,5.2,11.0,9.6,350.0
2024,1,2,17,1.78,5.2,0.0,8.5,356.0
2024,1,2,18,1.6,5.0,11.0,8.6,356.0
2024,1,2,19,1.49,5.1,0.0,7.8,2.0
2024,1,2,20,1.59,5.1,11.0,7.7,360.0
2024,1,2,21,1.26,4.7,0.0,6.6,8.0
2024,1,2,22,1.3,5.0,0.0,6.0,355.0
2024,1,2,23,1.11,4.9,0.0,5.7,349.0
2024,1,3,0,1.25,5.0,0.0,6.9,343.0
2024,1,3,1,1.29,4.8,0.0,6.7,347.0
2024,1,3,2,1.3,5.0,11.0,6.2,355.0
2024,1,3,3,1.35,5.0,11.0,6.0,2.0
2024,1,3,4,1.32,5.0,11.0,5.5,6.0
2024,1,3,5,1.19,4.8,0.0,7.5,354.0
2024,1,3,6,1.1,4.5,11.0,7.6,355.0
2024,1,3,7,1.21,4.4,11.0,8.4,8.0
2024,1,3,8,1.15,4.6,11.0,9.2,8.0
2024,1,3,9,1.38,4.4,11.0,10.2,358.0
2024,1,3,10,1.59,4.8,11.0,11.0,6.0
2024,1,3,11,1.86,5.1,33.0,11.4,8.0
2024,1,3,12,2.26,5.3,22.0,12.6,4.0
2024,1,3,13,2.74,5.6,22.0,13.6,10.0
2024,1,3,14,2.73,5.7,11.0,14.1,17.0
2024,1,3,15,2.71,5.7,22.0,14.6,16.0
2024,1,3,16,3.05,5.9,11.0,15.2,22.0
2024,1,3,17,2.94,5.8,22.0,15.9,16.0
2024,1,3,18,3.25,5.8,11.0,16.5,22.0
2024,1,3,19,3.1,5.9,11.0,16.0,19.0
